Idade,Gênero,Nível_Acadêmico,País,Média_Uso_Diário,Plataforma_Mais_Utilizada,Afeta_Desempenho_Acadêmico,Horas_Sono,Pontuação_Saúde_Mental,Nível_Vício
20,Feminino,Graduação,Turquia,5.6,TikTok,Sim,5.5,5,8
22,Masculino,Pós-Graduação,Israel,3.1,Facebook,Não,6.8,7,5
19,Feminino,Ensino Médio,Emirados Árabes Unidos,6.2,Instagram,Sim,5.1,5,9
21,Masculino,Graduação,Egito,3.9,YouTube,Não,6.5,7,6
20,Feminino,Graduação,Marrocos,4.5,TikTok,Sim,5.8,6,7
24,Masculino,Pós-Graduação,África do Sul,2.3,LinkedIn,Não,7.3,8,4
19,Feminino,Ensino Médio,Nigéria,5.8,Instagram,Sim,5.4,5,8
21,Masculino,Graduação,Quênia,3.7,Facebook,Não,6.6,7,5
20,Feminino,Graduação,Gana,4.6,Snapchat,Sim,5.7,6,7
18,Masculino,Ensino Médio,Argentina,5.5,TikTok,Sim,5.3,5,8
23,Feminino,Pós-Graduação,Chile,2.7,LinkedIn,Não,7.1,8,4
19,Masculino,Graduação,Colômbia,4.8,Instagram,Sim,5.9,6,7
20,Feminino,Graduação,Peru,5.5,TikTok,Sim,5.6,5,8
22,Masculino,Pós-Graduação,Venezuela,3.3,Facebook,Não,6.7,7,5
19,Feminino,Ensino Médio,Equador,6.3,Instagram,Sim,5.2,5,9
21,Masculino,Graduação,Uruguai,3.8,YouTube,Não,6.4,7,6
20,Feminino,Graduação,Paraguai,4.7,TikTok,Sim,5.8,6,7
24,Masculino,Pós-Graduação,Bolívia,2.4,LinkedIn,Não,7.2,8,4
19,Feminino,Ensino Médio,Costa Rica,5.7,Instagram,Sim,5.5,5,8
21,Masculino,Graduação,Panamá,3.6,Facebook,Não,6.5,7,5
20,Feminino,Graduação,Jamaica,4.9,Snapchat,Sim,5.6,6,7
18,Masculino,Ensino Médio,Trinidad e Tobago,5.6,TikTok,Sim,5.2,5,8
23,Feminino,Pós-Graduação,Bahamas,2.8,LinkedIn,Não,7.0,8,4
19,Masculino,Graduação,Islândia,4.6,Instagram,Sim,5.9,6,7
20,Feminino,Graduação,Finlândia,5.4,TikTok,Sim,5.7,5,8
22,Masculino,Pós-Graduação,Polônia,3.1,Facebook,Não,7.1,7,5
19,Feminino,Graduação,Romênia,5.6,Instagram,Sim,5.6,5,8
20,Masculino,Graduação,Hungria,4.2,TikTok,Sim,6.0,6,7
18,Feminino,Ensino Médio,Tchéquia,6.1,Snapchat,Sim,5.2,4,9
23,Masculino,Pós-Graduação,Eslováquia,2.3,LinkedIn,Não,7.4,8,3
21,Feminino,Graduação,Croácia,4.8,Instagram,Sim,5.8,6,7
20,Masculino,Graduação,Sérvia,3.9,YouTube,Não,6.5,7,6
19,Feminino,Ensino Médio,Eslovênia,5.7,TikTok,Sim,5.4,5,8
22,Masculino,Pós-Graduação,Bulgária,2.8,LinkedIn,Não,7.2,8,4
20,Feminino,Graduação,Estônia,4.5,Instagram,Sim,5.9,6,7
18,Masculino,Ensino Médio,Letônia,5.4,Snapchat,Sim,5.5,5,8
21,Feminino,Pós-Graduação,Lituânia,3.2,Facebook,Não,6.8,7,5
19,Masculino,Graduação,Ucrânia,4.9,TikTok,Sim,5.7,6,7
20,Feminino,Graduação,Moldávia,5.8,Instagram,Sim,5.3,5,8
23,Masculino,Pós-Graduação,Bielorrússia,2.5,LinkedIn,Não,7.3,8,4
21,Feminino,Graduação,Cazaquistão,4.6,Snapchat,Sim,5.8,6,7
19,Masculino,Ensino Médio,Uzbequistão,5.5,TikTok,Sim,5.4,5,8
22,Feminino,Pós-Graduação,Quirguistão,2.9,Facebook,Não,7.0,7,5
20,Masculino,Graduação,Tadjiquistão,4.7,YouTube,Sim,5.9,6,7
18,Feminino,Ensino Médio,Armênia,5.9,Instagram,Sim,5.2,5,9
21,Masculino,Pós-Graduação,Geórgia,3.0,LinkedIn,Não,7.1,8,4
19,Feminino,Graduação,Azerbaijão,4.8,TikTok,Sim,5.7,6,7
20,Masculino,Graduação,Chipre,3.8,Facebook,Não,6.6,7,6
22,Feminino,Pós-Graduação,Malta,2.7,LinkedIn,Não,7.2,8,4
18,Masculino,Ensino Médio,Luxemburgo,5.6,Snapchat,Sim,5.3,5,8
21,Feminino,Graduação,Mônaco,4.5,Instagram,Sim,5.8,6,7
19,Masculino,Ensino Médio,Andorra,5.3,TikTok,Sim,5.5,5,8
23,Feminino,Pós-Graduação,San Marino,2.6,LinkedIn,Não,7.3,8,4
20,Masculino,Graduação,Cidade do Vaticano,4.4,YouTube,Sim,6.0,6,7
18,Feminino,Ensino Médio,Liechtenstein,5.8,Instagram,Sim,5.2,5,9
22,Masculino,Pós-Graduação,Montenegro,2.9,Facebook,Não,7.0,7,5
19,Feminino,Graduação,Albânia,4.7,TikTok,Sim,5.8,6,7
21,Masculino,Graduação,Macedônia do Norte,3.7,Snapchat,Não,6.5,7,6
20,Feminino,Ensino Médio,Kosovo,5.5,Instagram,Sim,5.4,5,8
23,Masculino,Pós-Graduação,Bósnia e Herzegovina,2.4,LinkedIn,Não,7.4,8,4
19,Feminino,Graduação,Catar,4.9,TikTok,Sim,5.7,6,7
18,Masculino,Ensino Médio,Kuwait,5.7,Snapchat,Sim,5.3,5,8
22,Feminino,Pós-Graduação,Barein,2.8,LinkedIn,Não,7.1,8,4
20,Masculino,Graduação,Omã,4.6,Instagram,Sim,5.9,6,7
21,Feminino,Graduação,Jordânia,5.4,TikTok,Sim,5.5,5,8
19,Masculino,Ensino Médio,Líbano,5.8,YouTube,Sim,5.2,5,9
23,Feminino,Pós-Graduação,Iraque,2.5,LinkedIn,Não,7.3,8,4
20,Masculino,Graduação,Iêmen,4.7,Facebook,Sim,5.8,6,7
18,Feminino,Ensino Médio,Síria,5.6,Instagram,Sim,5.4,5,8
22,Masculino,Pós-Graduação,Afeganistão,2.9,LinkedIn,Não,7.0,7,5
19,Feminino,Graduação,Paquistão,4.8,TikTok,Sim,5.7,6,7
21,Masculino,Graduação,Nepal,3.8,YouTube,Não,6.6,7,6
20,Feminino,Ensino Médio,Butão,5.5,Snapchat,Sim,5.5,5,8
23,Masculino,Pós-Graduação,Sri Lanka,2.6,LinkedIn,Não,7.2,8,4
19,Feminino,Graduação,Maldivas,4.9,Instagram,Sim,5.8,6,7
20,Masculino,Graduação,Bangladesh,6.1,Instagram,Sim,6.2,5,8
21,Feminino,Graduação,Índia,5.8,TikTok,Sim,5.9,6,7
19,Masculino,Graduação,Nepal,4.9,Facebook,Não,7.1,7,5
22,Feminino,Pós-Graduação,Paquistão,5.5,Instagram,Sim,6.0,5,8
20,Masculino,Graduação,Sri Lanka,5.2,TikTok,Sim,6.3,6,7
19,Feminino,Graduação,Maldivas,4.8,Instagram,Não,7.2,8,5
21,Masculino,Pós-Graduação,Bangladesh,6.0,Facebook,Sim,5.8,5,8
20,Feminino,Graduação,Índia,5.7,Instagram,Sim,6.1,6,7
22,Masculino,Pós-Graduação,Nepal,4.7,TikTok,Não,7.3,7,5
19,Feminino,Graduação,Paquistão,5.4,Instagram,Sim,6.2,5,8
20,Masculino,Graduação,Sri Lanka,5.9,Facebook,Sim,5.9,6,7
21,Feminino,Pós-Graduação,Maldivas,4.6,Instagram,Não,7.4,8,5
19,Masculino,Graduação,Bangladesh,5.3,TikTok,Sim,6.3,5,8
22,Feminino,Pós-Graduação,Índia,5.8,Instagram,Sim,5.8,6,7
20,Masculino,Graduação,Nepal,4.5,Facebook,Não,7.5,7,5
21,Feminino,Pós-Graduação,Paquistão,5.2,Instagram,Sim,6.4,5,8
19,Masculino,Graduação,Sri Lanka,5.7,TikTok,Sim,5.7,6,7
20,Feminino,Graduação,Maldivas,4.4,Instagram,Não,7.6,8,5
22,Masculino,Pós-Graduação,Bangladesh,5.1,Facebook,Sim,6.5,5,8
21,Feminino,Pós-Graduação,Índia,5.6,Instagram,Sim,5.6,6,7
19,Masculino,Graduação,Nepal,4.3,TikTok,Não,7.7,7,5
20,Feminino,Graduação,Paquistão,5.0,Instagram,Sim,6.6,5,8
22,Masculino,Pós-Graduação,Sri Lanka,5.5,Facebook,Sim,5.5,6,7
21,Feminino,Pós-Graduação,Maldivas,4.2,Instagram,Não,7.8,8,5
19,Masculino,Graduação,Bangladesh,4.9,TikTok,Sim,6.7,5,8
20,Feminino,Graduação,Índia,5.4,Instagram,Sim,5.4,6,7
22,Masculino,Pós-Graduação,Nepal,4.1,Facebook,Não,7.9,7,5
21,Feminino,Pós-Graduação,Paquistão,4.8,Instagram,Sim,6.8,5,8
19,Masculino,Graduação,Sri Lanka,5.3,TikTok,Sim,5.3,6,7
20,Feminino,Graduação,Maldivas,4.0,Instagram,Não,8.0,8,5
22,Masculino,Pós-Graduação,Bangladesh,4.7,Facebook,Sim,6.9,5,8
21,Feminino,Pós-Graduação,Índia,5.2,Instagram,Sim,5.2,6,7
19,Masculino,Graduação,Nepal,3.9,TikTok,Não,8.1,7,5
20,Feminino,Graduação,Paquistão,4.6,Instagram,Sim,7.0,5,8
22,Masculino,Pós-Graduação,Sri Lanka,5.1,Facebook,Sim,5.1,6,7
21,Feminino,Pós-Graduação,Maldivas,3.8,Instagram,Não,8.2,8,5
19,Masculino,Graduação,Bangladesh,4.5,TikTok,Sim,7.1,5,8
20,Feminino,Graduação,Índia,5.0,Instagram,Sim,5.0,6,7
22,Masculino,Pós-Graduação,Nepal,3.7,Facebook,Não,8.3,7,5
21,Feminino,Pós-Graduação,Paquistão,4.4,Instagram,Sim,7.2,5,8
19,Masculino,Graduação,Sri Lanka,4.9,TikTok,Sim,4.9,6,7
20,Feminino,Graduação,Maldivas,3.6,Instagram,Não,8.4,8,5
22,Masculino,Pós-Graduação,Bangladesh,4.3,Facebook,Sim,7.3,5,8
21,Feminino,Pós-Graduação,Índia,4.8,Instagram,Sim,4.8,6,7
19,Masculino,Graduação,Nepal,3.5,TikTok,Não,8.5,7,5
20,Feminino,Graduação,Paquistão,4.2,Instagram,Sim,7.4,5,8
22,Masculino,Pós-Graduação,Sri Lanka,4.7,Facebook,Sim,4.7,6,7
21,Feminino,Pós-Graduação,Maldivas,3.4,Instagram,Não,8.6,8,5
19,Masculino,Graduação,Bangladesh,4.1,TikTok,Sim,7.5,5,8
20,Feminino,Graduação,Índia,4.6,Instagram,Sim,4.6,6,7
19,Feminino,Graduação,Bangladesh,5.3,Instagram,Sim,6.1,5,7
21,Masculino,Pós-Graduação,Índia,4.8,Facebook,Não,7.2,7,6
20,Feminino,Graduação,Nepal,5.5,TikTok,Sim,5.9,6,8
22,Masculino,Pós-Graduação,Paquistão,4.7,Instagram,Sim,6.3,5,7
19,Feminino,Graduação,Sri Lanka,5.1,Facebook,Não,7.0,7,5
21,Masculino,Pós-Graduação,Maldivas,5.4,TikTok,Sim,6.0,6,8
20,Feminino,Graduação,Bangladesh,4.9,Instagram,Sim,6.4,5,7
22,Masculino,Pós-Graduação,Índia,5.2,Facebook,Não,7.1,7,6
19,Feminino,Graduação,Nepal,5.6,TikTok,Sim,5.8,6,8
21,Masculino,Pós-Graduação,Paquistão,4.6,Instagram,Sim,6.5,5,7
20,Feminino,Graduação,Sri Lanka,5.0,Facebook,Não,7.3,7,5
22,Masculino,Pós-Graduação,Maldivas,5.3,TikTok,Sim,5.7,6,8
19,Feminino,Graduação,Bangladesh,4.8,Instagram,Sim,6.6,5,7
21,Masculino,Pós-Graduação,Índia,5.1,Facebook,Não,7.4,7,6
20,Feminino,Graduação,Nepal,5.7,TikTok,Sim,5.6,6,8
22,Masculino,Pós-Graduação,Paquistão,4.5,Instagram,Sim,6.7,5,7
19,Feminino,Graduação,Sri Lanka,4.9,Facebook,Não,7.5,7,5
21,Masculino,Pós-Graduação,Maldivas,5.2,TikTok,Sim,5.5,6,8
20,Feminino,Graduação,Bangladesh,4.7,Instagram,Sim,6.8,5,7
22,Masculino,Pós-Graduação,Índia,5.0,Facebook,Não,7.6,7,6
19,Feminino,Graduação,Nepal,5.8,TikTok,Sim,5.4,6,8
21,Masculino,Pós-Graduação,Paquistão,4.4,Instagram,Sim,6.9,5,7
20,Feminino,Graduação,Sri Lanka,4.8,Facebook,Não,7.7,7,5
22,Masculino,Pós-Graduação,Maldivas,5.1,TikTok,Sim,5.3,6,8
19,Feminino,Graduação,Bangladesh,4.6,Instagram,Sim,7.0,5,7
21,Masculino,Pós-Graduação,Índia,4.9,Facebook,Não,7.8,7,6
20,Feminino,Graduação,Nepal,5.9,TikTok,Sim,5.2,6,8
22,Masculino,Pós-Graduação,Paquistão,4.3,Instagram,Sim,7.1,5,7
19,Feminino,Graduação,Sri Lanka,4.7,Facebook,Não,7.9,7,5
21,Masculino,Pós-Graduação,Maldivas,5.0,TikTok,Sim,5.1,6,8
20,Feminino,Graduação,Bangladesh,4.5,Instagram,Sim,7.2,5,7
22,Masculino,Pós-Graduação,Índia,4.8,Facebook,Não,8.0,7,6
19,Feminino,Graduação,Nepal,6.0,TikTok,Sim,5.0,6,8
21,Masculino,Pós-Graduação,Paquistão,4.2,Instagram,Sim,7.3,5,7
20,Feminino,Graduação,Sri Lanka,4.6,Facebook,Não,8.1,7,5
22,Masculino,Pós-Graduação,Maldivas,4.9,TikTok,Sim,4.9,6,8
19,Feminino,Graduação,Bangladesh,4.4,Instagram,Sim,7.4,5,7
21,Masculino,Pós-Graduação,Índia,4.7,Facebook,Não,8.2,7,6
20,Feminino,Graduação,Nepal,6.1,TikTok,Sim,4.8,6,8
22,Masculino,Pós-Graduação,Paquistão,4.1,Instagram,Sim,7.5,5,7
19,Feminino,Graduação,Sri Lanka,4.5,Facebook,Não,8.3,7,5
21,Masculino,Pós-Graduação,Maldivas,4.8,TikTok,Sim,4.7,6,8
20,Feminino,Graduação,Bangladesh,4.3,Instagram,Sim,7.6,5,7
22,Masculino,Pós-Graduação,Índia,4.6,Facebook,Não,8.4,7,6
19,Feminino,Graduação,Nepal,6.2,TikTok,Sim,4.6,6,8
21,Masculino,Pós-Graduação,Paquistão,4.0,Instagram,Sim,7.7,5,7
20,Feminino,Graduação,Sri Lanka,4.4,Facebook,Não,8.5,7,5
22,Masculino,Pós-Graduação,Maldivas,4.7,TikTok,Sim,4.5,6,8
19,Feminino,Graduação,Bangladesh,4.2,Instagram,Sim,7.8,5,7
21,Masculino,Pós-Graduação,Índia,4.5,Facebook,Não,8.6,7,6
20,Feminino,Graduação,Nepal,6.3,TikTok,Sim,4.4,6,8
22,Masculino,Pós-Graduação,Paquistão,3.9,Instagram,Sim,7.9,5,7
19,Feminino,Graduação,Sri Lanka,4.3,Facebook,Não,8.7,7,5
21,Masculino,Pós-Graduação,Maldivas,4.6,TikTok,Sim,4.3,6,8
20,Feminino,Graduação,Bangladesh,4.1,Instagram,Sim,8.0,5,7
22,Masculino,Pós-Graduação,Índia,4.4,Facebook,Não,8.8,7,6
19,Feminino,Graduação,Nepal,6.4,TikTok,Sim,4.2,6,8
21,Masculino,Pós-Graduação,Paquistão,3.8,Instagram,Sim,8.1,5,7
20,Feminino,Graduação,Sri Lanka,4.2,Facebook,Não,8.9,7,5
22,Masculino,Pós-Graduação,Maldivas,4.5,TikTok,Sim,4.1,6,8
19,Feminino,Graduação,Estados Unidos,6.5,Instagram,Sim,6.0,5,9
21,Masculino,Pós-Graduação,Reino Unido,5.8,TikTok,Sim,6.5,6,7
20,Feminino,Graduação,Austrália,4.5,Instagram,Não,7.5,8,5
22,Masculino,Pós-Graduação,Alemanha,4.2,Facebook,Não,7.8,7,4
19,Feminino,Graduação,Japão,3.8,LINE,Não,7.9,8,3
21,Masculino,Pós-Graduação,Itália,5.5,Instagram,Sim,6.8,6,7
20,Feminino,Graduação,Coreia do Sul,5.2,KakaoTalk,Sim,6.5,6,6
22,Masculino,Pós-Graduação,Rússia,4.8,VKontakte,Não,7.2,7,5
19,Feminino,Graduação,Estados Unidos,7.0,TikTok,Sim,5.8,4,9
21,Masculino,Pós-Graduação,Reino Unido,5.5,Instagram,Sim,6.7,6,7
20,Feminino,Graduação,Austrália,4.7,Facebook,Não,7.4,7,5
22,Masculino,Pós-Graduação,Alemanha,4.0,Instagram,Não,7.9,8,4
19,Feminino,Graduação,Japão,3.5,LINE,Não,8.0,8,3
21,Masculino,Pós-Graduação,Itália,5.7,TikTok,Sim,6.5,5,8
20,Feminino,Graduação,Coreia do Sul,5.0,KakaoTalk,Sim,6.8,6,6
22,Masculino,Pós-Graduação,Rússia,4.5,VKontakte,Não,7.4,7,5
19,Feminino,Graduação,Estados Unidos,6.8,Instagram,Sim,5.9,4,9
21,Masculino,Pós-Graduação,Reino Unido,5.6,Facebook,Sim,6.6,6,7
20,Feminino,Graduação,Austrália,4.6,Instagram,Não,7.3,7,5
22,Masculino,Pós-Graduação,Alemanha,4.1,Facebook,Não,7.7,8,4
19,Feminino,Graduação,Japão,3.7,LINE,Não,7.8,8,3
21,Masculino,Pós-Graduação,Itália,5.4,Instagram,Sim,6.7,5,7
20,Feminino,Graduação,Coreia do Sul,5.1,KakaoTalk,Sim,6.6,6,6
22,Masculino,Pós-Graduação,Rússia,4.7,VKontakte,Não,7.3,7,5
19,Feminino,Graduação,Estados Unidos,6.9,TikTok,Sim,5.7,4,9
21,Masculino,Pós-Graduação,Reino Unido,5.7,Instagram,Sim,6.4,6,7
20,Feminino,Graduação,Austrália,4.8,Facebook,Não,7.2,7,5
22,Masculino,Pós-Graduação,Alemanha,3.9,Instagram,Não,7.8,8,4
19,Feminino,Graduação,Japão,3.6,LINE,Não,8.1,8,3
21,Masculino,Pós-Graduação,Itália,5.6,TikTok,Sim,6.6,5,8
20,Feminino,Graduação,Coreia do Sul,4.9,KakaoTalk,Sim,6.9,6,6
22,Masculino,Pós-Graduação,Rússia,4.6,VKontakte,Não,7.5,7,5
19,Feminino,Graduação,Estados Unidos,6.7,Instagram,Sim,5.8,4,9
21,Masculino,Pós-Graduação,Reino Unido,5.4,Facebook,Sim,6.5,6,7
20,Feminino,Graduação,Austrália,4.4,Instagram,Não,7.4,7,5
22,Masculino,Pós-Graduação,Alemanha,4.0,Facebook,Não,7.6,8,4
19,Feminino,Graduação,Japão,3.4,LINE,Não,8.2,8,3
21,Masculino,Pós-Graduação,Itália,5.3,Instagram,Sim,6.8,5,7
20,Feminino,Graduação,Coreia do Sul,5.0,KakaoTalk,Sim,6.7,6,6
22,Masculino,Pós-Graduação,Rússia,4.4,VKontakte,Não,7.6,7,5
19,Feminino,Graduação,Estados Unidos,6.6,TikTok,Sim,5.6,4,9
21,Masculino,Pós-Graduação,Reino Unido,5.3,Instagram,Sim,6.3,6,7
20,Feminino,Graduação,Austrália,4.3,Facebook,Não,7.5,7,5
22,Masculino,Pós-Graduação,Alemanha,3.8,Instagram,Não,7.7,8,4
19,Feminino,Graduação,Japão,3.3,LINE,Não,8.3,8,3
21,Masculino,Pós-Graduação,Itália,5.2,TikTok,Sim,6.9,5,8
20,Feminino,Graduação,Coreia do Sul,4.8,KakaoTalk,Sim,7.0,6,6
22,Masculino,Pós-Graduação,Rússia,4.3,VKontakte,Não,7.7,7,5
19,Feminino,Graduação,Estados Unidos,6.4,Instagram,Sim,5.7,4,9
21,Masculino,Pós-Graduação,Reino Unido,5.2,Facebook,Sim,6.4,6,7
20,Feminino,Graduação,Austrália,4.5,Instagram,Não,7.3,7,5
22,Masculino,Pós-Graduação,Alemanha,3.7,Facebook,Não,7.8,8,4
19,Feminino,Graduação,Japão,3.2,LINE,Não,8.4,8,3
21,Masculino,Pós-Graduação,Itália,5.4,Instagram,Sim,6.7,5,7
20,Feminino,Graduação,Coreia do Sul,4.7,KakaoTalk,Sim,7.1,6,6
22,Masculino,Pós-Graduação,Rússia,4.2,VKontakte,Não,7.8,7,5
19,Feminino,Graduação,Estados Unidos,6.6,TikTok,Sim,5.5,4,9
21,Masculino,Pós-Graduação,Reino Unido,5.1,Instagram,Sim,6.5,6,7
20,Feminino,Graduação,Austrália,4.4,Facebook,Não,7.4,7,5
22,Masculino,Pós-Graduação,Alemanha,3.6,Instagram,Não,7.9,8,4
19,Feminino,Graduação,Japão,3.1,LINE,Não,8.5,8,3
21,Masculino,Pós-Graduação,Itália,5.3,TikTok,Sim,6.8,5,8
20,Feminino,Graduação,Coreia do Sul,4.6,KakaoTalk,Sim,7.2,6,6
22,Masculino,Pós-Graduação,Rússia,4.1,VKontakte,Não,7.9,7,5
19,Feminino,Graduação,Estados Unidos,6.7,Instagram,Sim,5.4,4,9
21,Masculino,Pós-Graduação,Reino Unido,5.0,Facebook,Sim,6.6,6,7
20,Feminino,Graduação,Austrália,4.3,Instagram,Não,7.5,7,5
22,Masculino,Pós-Graduação,Alemanha,3.5,Facebook,Não,8.0,8,4
19,Feminino,Graduação,Japão,3.0,LINE,Não,8.6,8,3
21,Masculino,Pós-Graduação,Itália,5.2,Instagram,Sim,6.9,5,7
20,Feminino,Graduação,Coreia do Sul,4.5,KakaoTalk,Sim,7.3,6,6
22,Masculino,Pós-Graduação,Rússia,4.0,VKontakte,Não,8.0,7,5
19,Feminino,Graduação,Estados Unidos,6.8,TikTok,Sim,5.3,4,9
21,Masculino,Pós-Graduação,Reino Unido,4.9,Instagram,Sim,6.7,6,7
20,Feminino,Graduação,Austrália,4.2,Facebook,Não,7.6,7,5
22,Masculino,Pós-Graduação,Alemanha,3.4,Instagram,Não,8.1,8,4
19,Feminino,Graduação,Japão,2.9,LINE,Não,8.7,8,3
21,Masculino,Pós-Graduação,Itália,5.1,TikTok,Sim,7.0,5,8
20,Feminino,Graduação,Coreia do Sul,4.4,KakaoTalk,Sim,7.4,6,6
22,Masculino,Pós-Graduação,Rússia,3.9,VKontakte,Não,8.1,7,5
19,Feminino,Graduação,Estados Unidos,6.9,Instagram,Sim,5.2,4,9
21,Masculino,Pós-Graduação,Reino Unido,4.8,Facebook,Sim,6.8,6,7
20,Feminino,Graduação,Austrália,4.1,Instagram,Não,7.7,7,5
22,Masculino,Pós-Graduação,Alemanha,3.3,Facebook,Não,8.2,8,4
19,Feminino,Graduação,Japão,2.8,LINE,Não,8.8,8,3
21,Masculino,Pós-Graduação,Itália,5.0,Instagram,Sim,7.1,5,7
20,Feminino,Graduação,Coreia do Sul,4.3,KakaoTalk,Sim,7.5,6,6
22,Masculino,Pós-Graduação,Rússia,3.8,VKontakte,Não,8.2,7,5
19,Feminino,Graduação,Estados Unidos,7.0,TikTok,Sim,5.1,4,9
21,Masculino,Pós-Graduação,Reino Unido,4.7,Instagram,Sim,6.9,6,7
20,Feminino,Graduação,Austrália,4.0,Facebook,Não,7.8,7,5
22,Masculino,Pós-Graduação,Alemanha,3.2,Instagram,Não,8.3,8,4
19,Feminino,Graduação,Japão,2.7,LINE,Não,8.9,8,3
21,Masculino,Pós-Graduação,Itália,4.9,TikTok,Sim,7.2,5,8
20,Feminino,Graduação,Coreia do Sul,4.2,KakaoTalk,Sim,7.6,6,6
22,Masculino,Pós-Graduação,Rússia,3.7,VKontakte,Não,8.3,7,5
19,Feminino,Graduação,Estados Unidos,7.1,Instagram,Sim,5.0,4,9
21,Masculino,Pós-Graduação,Reino Unido,4.6,Facebook,Sim,7.0,6,7
20,Feminino,Graduação,Austrália,3.9,Instagram,Não,7.9,7,5
22,Masculino,Pós-Graduação,Alemanha,3.1,Facebook,Não,8.4,8,4
19,Feminino,Graduação,Espanha,5.2,Instagram,Sim,6.8,6,7
21,Masculino,Pós-Graduação,Dinamarca,4.1,Facebook,Não,7.8,8,4
20,Feminino,Graduação,Irlanda,5.0,Instagram,Sim,7.0,7,6
22,Masculino,Pós-Graduação,Índia,5.8,WhatsApp,Sim,6.5,5,8
19,Feminino,Graduação,Suíça,4.0,Instagram,Não,7.9,8,4
21,Masculino,Pós-Graduação,Turquia,5.5,Instagram,Sim,6.7,6,7
20,Feminino,Graduação,Estados Unidos,6.8,TikTok,Sim,5.5,5,9
22,Masculino,Pós-Graduação,México,5.6,WhatsApp,Sim,6.6,6,7
19,Feminino,Graduação,França,4.5,Instagram,Não,7.5,7,5
21,Masculino,Pós-Graduação,Canadá,5.3,Instagram,Sim,6.9,6,7
20,Feminino,Graduação,Espanha,5.1,TikTok,Sim,6.7,6,7
22,Masculino,Pós-Graduação,Dinamarca,3.9,Facebook,Não,7.9,8,4
19,Feminino,Graduação,Irlanda,4.8,Instagram,Sim,7.1,7,6
21,Masculino,Pós-Graduação,Índia,5.9,WhatsApp,Sim,6.4,5,8
20,Feminino,Graduação,Suíça,3.8,Instagram,Não,8.0,8,4
22,Masculino,Pós-Graduação,Turquia,5.4,TikTok,Sim,6.8,6,7
19,Feminino,Graduação,Estados Unidos,6.9,Instagram,Sim,5.4,5,9
21,Masculino,Pós-Graduação,México,5.7,WhatsApp,Sim,6.5,6,7
